EVENT;LINK;DATE
UFC - TUF 12 Finale;/events/details/507;Dec. 4, 2010
Strikeforce - Henderson vs. Babalu;/events/details/504;Dec. 4, 2010
UFC 123: Rampage vs. Machida;/events/details/498;Nov. 20, 2010
Strikeforce Challengers 12;/events/details/508;Nov. 19, 2010
UFC 122: Marquardt vs. Okami;/events/details/497;Nov. 13, 2010
WEC 52: Faber vs. Mizugaki;/events/details/502;Nov. 11, 2010
DEEP 50 - Impact;/events/details/606;Oct. 24, 2010
UFC 121: Lesnar vs. Velasquez;/events/details/494;Oct. 23, 2010
Strikeforce Challengers 11;/events/details/496;Oct. 22, 2010
UFC 120: Bisping vs. Akiyama;/events/details/485;Oct. 16, 2010
Strikeforce - Diaz vs. Noons 2;/events/details/495;Oct. 9, 2010
WEC 51: Aldo vs. Gamburyan;/events/details/487;Sep. 30, 2010
UFC 119: Mir vs. Cro Cop;/events/details/484;Sep. 25, 2010
DREAM 16;/events/details/486;Sep. 25, 2010
UFC Fight Night 22;/events/details/479;Sep. 15, 2010
UFC 118: Edgar vs. Penn 2;/events/details/466;Aug. 28, 2010
Strikeforce - Houston;/events/details/477;Aug. 21, 2010
WEC 50: Cruz vs. Benavidez;/events/details/465;Aug. 18, 2010
Strikeforce Challengers 10;/events/details/478;Aug. 13, 2010
UFC 117: Silva vs. Sonnen;/events/details/463;Aug. 7, 2010
UFC on Versus 2;/events/details/462;Aug. 1, 2010
Strikeforce Challengers 9;/events/details/464;Jul. 23, 2010
DREAM 15;/events/details/461;Jul. 10, 2010
Impact FC 1;/events/details/492;Jul. 10, 2010
UFC 116: Lesnar vs. Carwin;/events/details/457;Jul. 3, 2010
Strikeforce - Fedor vs. Werdum;/events/details/459;Jun. 26, 2010
WEC 49: Varner vs. Shalorus;/events/details/451;Jun. 20, 2010
UFC - TUF 11 Finale;/events/details/455;Jun. 19, 2010
Strikeforce - Los Angeles;/events/details/456;Jun. 16, 2010
UFC 115: Liddell vs. Franklin;/events/details/449;Jun. 12, 2010
UFC 114: Jackson vs. Evans;/events/details/446;May. 29, 2010
DREAM 14;/events/details/450;May. 29, 2010
Strikeforce Challengers 8;/events/details/452;May. 21, 2010
Strikeforce - Heavy Artillery;/events/details/447;May. 15, 2010
UFC 113: Machida vs. Shogun 2;/events/details/445;May. 8, 2010
WEC 48: Aldo vs. Faber;/events/details/441;Apr. 24, 2010
Strikeforce - Nashville;/events/details/448;Apr. 17, 2010
UFC 112: Invincible;/events/details/437;Apr. 10, 2010
UFC Fight Night 21;/events/details/440;Mar. 31, 2010
UFC 111: St. Pierre vs. Hardy;/events/details/435;Mar. 27, 2010
Strikeforce Challengers 7;/events/details/444;Mar. 26, 2010
DREAM 13;/events/details/442;Mar. 22, 2010
UFC on Versus 1;/events/details/436;Mar. 21, 2010
WEC 47: Bowles vs. Cruz;/events/details/434;Mar. 6, 2010
Strikeforce Challengers 6;/events/details/443;Feb. 26, 2010
UFC 110: Nogueira vs. Velasquez;/events/details/427;Feb. 20, 2010
UFC 109: Relentless;/events/details/426;Feb. 6, 2010
Strikeforce - Miami;/events/details/431;Jan. 30, 2010
UFC Fight Night 20;/events/details/425;Jan. 11, 2010
WEC 46: Varner vs. Henderson;/events/details/433;Jan. 10, 2010
UFC 108: Evans vs. Silva;/events/details/424;Jan. 2, 2010
Dynamite!! 2009;/events/details/428;Dec. 31, 2009
Strikeforce - Evolution;/events/details/430;Dec. 19, 2009
WEC 45: Cerrone vs. Ratcliff;/events/details/432;Dec. 19, 2009
UFC 107: Penn vs. Sanchez;/events/details/422;Dec. 12, 2009
UFC - TUF 10 Finale;/events/details/413;Dec. 5, 2009
UFC 106: Ortiz vs. Griffin 2;/events/details/412;Nov. 21, 2009
Strikeforce Challengers 5;/events/details/429;Nov. 20, 2009
WEC 44: Brown vs. Aldo;/events/details/423;Nov. 18, 2009
UFC 105: Couture vs. Vera;/events/details/411;Nov. 14, 2009
Strikeforce - Fedor vs. Rogers;/events/details/410;Nov. 7, 2009
Strikeforce Challengers 4;/events/details/409;Nov. 6, 2009
DREAM 12;/events/details/415;Oct. 25, 2009
UFC 104: Machida vs. Shogun;/events/details/316;Oct. 24, 2009
Ultimate Glory 11: A Decade of Fights;/events/details/467;Oct. 17, 2009
WEC 43: Cerrone vs. Henderson;/events/details/313;Oct. 10, 2009
DREAM 11: Featherweight Grand Prix 2009 Final Round;/events/details/414;Oct. 6, 2009
Strikeforce Challengers 3;/events/details/408;Sep. 25, 2009
UFC 103: Franklin vs. Belfort;/events/details/315;Sep. 19, 2009
UFC Fight Night 19;/events/details/314;Sep. 16, 2009
UFC 102: Couture vs. Nogueira;/events/details/297;Aug. 29, 2009
M-1 Global - Breakthrough;/events/details/480;Aug. 28, 2009
Strikeforce - Carano vs. Cyborg;/events/details/407;Aug. 15, 2009
WEC 42: Torres vs. Bowles;/events/details/312;Aug. 9, 2009
UFC 101: Declaration;/events/details/296;Aug. 8, 2009
DREAM 10: Welterweight Grand Prix 2009 Final Round;/events/details/307;Jul. 20, 2009
UFC 100;/events/details/295;Jul. 11, 2009
UFC - TUF 9 Finale;/events/details/294;Jun. 20, 2009
Strikeforce Challengers 2;/events/details/406;Jun. 19, 2009
UFC 99: The Comeback;/events/details/293;Jun. 13, 2009
WEC 41: Brown vs. Faber 2;/events/details/311;Jun. 7, 2009
Strikeforce - Lawler vs. Shields;/events/details/405;Jun. 6, 2009
DREAM 9: Featherweight Grand Prix 2009 2nd Round;/events/details/306;May. 26, 2009
UFC 98: Evans vs. Machida;/events/details/292;May. 23, 2009
Strikeforce Challengers 1;/events/details/404;May. 15, 2009
Jungle Fight 13;/events/details/458;May. 9, 2009
WFC 8: D-Day;/events/details/453;Apr. 18, 2009
UFC 97: Redemption;/events/details/267;Apr. 18, 2009
Strikeforce - Shamrock vs. Diaz;/events/details/403;Apr. 11, 2009
DREAM 8: Welterweight Grand Prix 2009 1st Round;/events/details/305;Apr. 5, 2009
WEC 40: Torres vs. Mizugaki;/events/details/310;Apr. 5, 2009
UFC Fight Night 18;/events/details/291;Apr. 1, 2009
Ultimate Gladiators;/events/details/454;Mar. 29, 2009
Sengoku - Seventh Battle;/events/details/481;Mar. 20, 2009
DREAM 7: Featherweight Grand Prix 2009 1st Round;/events/details/304;Mar. 8, 2009
UFC 96: Jackson vs. Jardine;/events/details/266;Mar. 7, 2009
WEC 39: Brown vs. Garcia;/events/details/309;Mar. 1, 2009
UFC 95: Sanchez vs. Stevenson;/events/details/265;Feb. 21, 2009
UFC Fight Night 17;/events/details/290;Feb. 7, 2009
UFC 94: St. Pierre vs. Penn 2;/events/details/264;Jan. 31, 2009
WEC 38: Varner vs. Cerrone;/events/details/191;Jan. 25, 2009
Affliction - Day of Reckoning;/events/details/262;Jan. 24, 2009
UFC 93: Franklin vs. Henderson;/events/details/263;Jan. 17, 2009
Sengoku - no Ran 2009;/events/details/482;Jan. 4, 2009
Dynamite!! 2008;/events/details/308;Dec. 31, 2008
UFC 92: The Ultimate 2008;/events/details/1;Dec. 27, 2008
UFC - TUF 8 Finale;/events/details/2;Dec. 13, 2008
Adrenaline MMA 2: Miletich vs. Denny;/events/details/420;Dec. 11, 2008
UFC Fight Night 16 - Fight for the Troops;/events/details/3;Dec. 10, 2008
WEC 37: Torres vs. Tapia;/events/details/192;Dec. 3, 2008
Strikeforce - Destruction;/events/details/245;Nov. 21, 2008
UFC 91: Couture vs. Lesnar;/events/details/4;Nov. 15, 2008
Ultimate Glory 10: The Battle of Arnhem;/events/details/468;Nov. 9, 2008
WEC 36: Faber vs. Brown;/events/details/193;Nov. 5, 2008
Sengoku - Sixth Battle;/events/details/460;Nov. 1, 2008
UFC 90: Silva vs. Cote;/events/details/5;Oct. 25, 2008
UFC 89: Bisping vs. Leben;/events/details/6;Oct. 18, 2008
EliteXC - Heat;/events/details/229;Oct. 4, 2008
Strikeforce - Payback;/events/details/246;Oct. 3, 2008
Sengoku - Fifth Battle;/events/details/483;Sep. 28, 2008
DREAM 6: Middleweight Grand Prix 2008 Final Round;/events/details/303;Sep. 23, 2008
Strikeforce - At the Mansion 2;/events/details/247;Sep. 20, 2008
UFC Fight Night 15;/events/details/7;Sep. 17, 2008
Strikeforce - Young Guns 3;/events/details/248;Sep. 13, 2008
UFC 88: Breakthrough;/events/details/8;Sep. 6, 2008
UFC 87: Seek And Destroy;/events/details/9;Aug. 9, 2008
WEC 35: Condit vs. Miura;/events/details/194;Aug. 3, 2008
EliteXC - Unfinished Business;/events/details/232;Jul. 26, 2008
DREAM 5: Lightweight Grand Prix 2008 Final Round;/events/details/302;Jul. 21, 2008
Affliction - Banned;/events/details/261;Jul. 19, 2008
UFC Fight Night 14;/events/details/10;Jul. 19, 2008
UFC 86: Jackson vs. Griffin;/events/details/11;Jul. 5, 2008
Strikeforce - Melendez vs. Thomson;/events/details/249;Jun. 27, 2008
UFC - TUF 7 Finale;/events/details/12;Jun. 21, 2008
DREAM 4: Middleweight Grand Prix 2008 2nd Round;/events/details/301;Jun. 15, 2008
EliteXC - Return of the King;/events/details/233;Jun. 14, 2008
UFC 85: Bedlam;/events/details/13;Jun. 7, 2008
WEC 34: Faber vs. Pulver;/events/details/195;Jun. 1, 2008
EliteXC - Primetime;/events/details/234;May. 31, 2008
UFC 84: Ill Will;/events/details/14;May. 24, 2008
Sengoku - Second Battle;/events/details/491;May. 18, 2008
