;0
503;Egidijus Valavicius
504;Eiji Mitsuoka
505;Eldari Kurtanidze
506;Eldo Xavier Dias
507;Eliot Marshall
508;Elvis Sinosic
509;Emmanuel Yarborough
510;Enson Inoue
511;Eric Castile
512;Eric Esch
513;Eric Jacob
514;Eric Lawson
515;Eric Martin
516;Eric Schafer
517;Eric Schwartz
518;Eric Smith
519;Eric Steenberg
520;Eric Wisely
521;Eric Wray
522;Erick Silva
523;Erick Wanderlei
524;Erik Apple
525;Erik Koch
526;Erik Perez
527;Ernie Verdicia
528;Errol Zimmerman
529;Estevan Payan
530;Eugene Jackson
531;Eugenio Tadeu
532;Evan Dunham
533;Evan Esguerra
534;Evan Tanner
535;Evangelista Santos
536;Fabiano Iha
537;Fabiano Scherner
538;Fabio Maldonado
539;Fabio Mello
540;Fabio Nascimento
541;Fabio Silva
542;Fabricio Camoes
543;Fabricio Werdum
544;Falaniko Vitale
545;Federico Lopez
546;Fedor Emelianenko
547;Felipe Arantes
548;Felix Lee Mitchell
549;Fernando Gonzalez
550;Fiona Muxlow
551;Flavio Luiz Moura
552;Floyd Sword
553;Forrest Griffin
554;Forrest Petz
555;Francesco Maturi
556;Francis Carmont
557;Francisco Bueno
558;Francisco France
559;Francisco Rivera
560;Francisco Trinaldo
561;Francois Botha
562;Frank Caracci
563;Frank Gomez
564;Frank Hamaker
565;Frank Lester
566;Frank Megallon
567;Frank Mir
568;Frank Shamrock
569;Frank Trigg
570;Frankie Edgar
571;Fred Ettish
572;Fredson Paixao
573;Gabe Lemley
574;Gabe Ruediger
575;Gabriel Gonzaga
576;Gabriel Salinas-Jones
577;Gan McGee
578;Gareth Joseph
579;Garett Whiteley
580;Gary Frazier
581;Gary Goodridge
582;Gary Quan
583;Gegard Mousasi
584;Genki Sudo
585;George Bush
586;George Roop
587;George Sotiropoulos
588;Georges St-Pierre
589;Gerald Harris
590;Gerald Strebendt
591;Gerard Gordeau
592;Germaine de Randamie
593;Geronimo dos Santos
594;Gerry Harris
595;Geza Kalman
596;Gian Villante
597;Gideon Ray
598;Gilbert Aldana
599;Gilbert Melendez
600;Gilbert Rael
601;Gilbert Smith
602;Gilbert Yvel
603;Gilles Arsene
604;Gina Carano
605;Gleison Tibau
606;Glover Teixeira
607;Godofredo Pepey
608;Goldman Butler
609;Goran Reljic
610;Gray Maynard
611;Greg McIntyre
612;Greg Nagy
613;Greg Soto
614;Greg Stott
615;Greg Wilson
616;Gunnar Nelson
617;Guy Mezger
618;Hans Nijman
619;Harold Howard
620;Harris Sarmiento
621;Haven Torres
622;Hayato Sakurai
623;Hayder Hassan
624;He-Man Gipson
625;Heath Herring
626;Hector Lombard
627;Hector Ramirez
628;Helio Dipp
629;Henry Martinez
630;Henry Miller
631;Herman Renting
632;Herman Terrado
633;Hermes Franca
634;Herschel Walker
635;Hidehiko Yoshida
636;Hideo Tokoro
637;Hidetaka Monma
638;Hiromitsu Kanehara
639;Hiromitsu Miura
640;Hiroshi Izumi
641;Hirotaka Yokoi
642;Hiroyuki Abe
643;Hiroyuki Takaya
644;Hitomi Akano
645;Ho Bae Myeon
646;Homer Moore
647;Hong Man Choi
648;Houston Alexander
649;Houston Dorr
650;Hugo Duarte
651;Hugo Govea
652;Hugo Sandoval
653;Hugo Viana
654;Hyun Gyu Lim
655;Ian Freeman
656;Ian McCall
657;Ian Murphy
658;Ian Rammel
659;Ibragim Magomedov
660;Icho Larenas
661;Ido Pariente
662;Igor Borisov
663;Igor Gracie
664;Igor Pokrajac
665;Igor Vovchanchyn
666;Igor Zinoviev
667;Ikuhisa Minowa
668;Ildemar Alcantara
669;Iliarde Santos
