EVENT;FIGHTER_LOSE;FIGHTER_WIN;METHOD;METHOD_DESC;ROUND;TIME;DATE
PRIDE Critical Countdown 2004;Kevin Randleman;Fedor Emelianenko;SUB;Kimura;1;1:33;Jun. 20, 2004
PRIDE Critical Countdown 2004;Heath Herring;Antonio Rodrigo Nogueira;SUB;Anaconda Choke;2;0:30;Jun. 20, 2004
PRIDE Critical Countdown 2004;Mark Hunt;Hidehiko Yoshida;SUB;Armbar;1;5:25;Jun. 20, 2004
PRIDE Critical Countdown 2004;Paulo Cesar Silva;Naoya Ogawa;KO/TKO;Punches;1;3:29;Jun. 20, 2004
PRIDE Critical Countdown 2004;Semmy Schilt;Sergei Kharitonov;KO/TKO;Punches;1;9:19;Jun. 20, 2004
PRIDE Critical Countdown 2004;Ricardo Arona;Quinton Jackson;KO/TKO;Slam;1;7:32;Jun. 20, 2004
PRIDE Critical Countdown 2004;Antonio Schembri;Kazushi Sakuraba;U. DEC;;3;5:00;Jun. 20, 2004
PRIDE Critical Countdown 2005;Kazuhiro Nakamura;Wanderlei Silva;KO/TKO;Punches;1;5:24;Jun. 26, 2005
PRIDE Critical Countdown 2005;Kazushi Sakuraba;Ricardo Arona;KO/TKO;Corner Stoppage;2;5:00;Jun. 26, 2005
PRIDE Critical Countdown 2005;Pawel Nastula;Antonio Rodrigo Nogueira;KO/TKO;Punches;1;8:38;Jun. 26, 2005
PRIDE Critical Countdown 2005;Makoto Takimoto;Kiyoshi Tamura;U. DEC;;3;5:00;Jun. 26, 2005
PRIDE Critical Countdown 2005;Ibragim Magomedov;Mirko Filipovic;KO/TKO;Kick;1;3:53;Jun. 26, 2005
PRIDE Critical Countdown 2005;Igor Vovchanchyn;Alistair Overeem;SUB;Guillotine Choke;1;1:20;Jun. 26, 2005
PRIDE Critical Countdown 2005;Antonio Rogerio Nogueira;Mauricio Rua;U. DEC;;3;5:00;Jun. 26, 2005
PRIDE Critical Countdown 2005;Pedro Rizzo;Sergei Kharitonov;KO/TKO;Knee;1;2:02;Jun. 26, 2005
PRIDE Critical Countdown Absolute;Hidehiko Yoshida;Mirko Filipovic;KO/TKO;Kick;1;7:38;Jul. 1, 2006
PRIDE Critical Countdown Absolute;Mark Hunt;Josh Barnett;SUB;Kimura;1;2:02;Jul. 1, 2006
PRIDE Critical Countdown Absolute;Kazuyuki Fujita;Wanderlei Silva;KO/TKO;Kicks;1;9:21;Jul. 1, 2006
PRIDE Critical Countdown Absolute;Fabricio Werdum;Antonio Rodrigo Nogueira;U. DEC;;3;5:00;Jul. 1, 2006
PRIDE Critical Countdown Absolute;Evangelista Santos;Kazuhiro Nakamura;SUB;Keylock;1;4:49;Jul. 1, 2006
PRIDE Critical Countdown Absolute;Alistair Overeem;Antonio Rogerio Nogueira;KO/TKO;Corner Stoppage;2;2:13;Jul. 1, 2006
PRIDE Critical Countdown Absolute;Yoshiki Takahashi;Vitor Belfort;KO/TKO;Punch;1;0:36;Jul. 1, 2006
PRIDE Critical Countdown Absolute;Eun Soo Lee;Yoshihiro Nakao;Dr's Stoppage;Eye Injury;1;4:16;Jul. 1, 2006
PRIDE Critical Countdown Absolute;Edson Drago;Pawel Nastula;SUB;Armbar;1;4:33;Jul. 1, 2006
PRIDE Final Conflict 2003;Quinton Jackson;Wanderlei Silva;KO/TKO;Knees;1;6:28;Nov. 9, 2003
PRIDE Final Conflict 2003;Mirko Filipovic;Antonio Rodrigo Nogueira;SUB;Armbar;2;1:45;Nov. 9, 2003
PRIDE Final Conflict 2003;Kevin Randleman;Kazushi Sakuraba;SUB;Armbar;3;2:36;Nov. 9, 2003
PRIDE Final Conflict 2003;Yoshihisa Yamamoto;Heath Herring;SUB;Rear Naked Choke;3;2:29;Nov. 9, 2003
PRIDE Final Conflict 2003;Murilo Bustamante;Dan Henderson;KO/TKO;Knee;1;0:53;Nov. 9, 2003
PRIDE Final Conflict 2003;Hidehiko Yoshida;Wanderlei Silva;U. DEC;;2;5:00;Nov. 9, 2003
PRIDE Final Conflict 2003;Chuck Liddell;Quinton Jackson;KO/TKO;Corner Stoppage;2;3:10;Nov. 9, 2003
PRIDE Final Conflict 2003;Dan Bobish;Gary Goodridge;KO/TKO;Punches;1;0:18;Nov. 9, 2003
PRIDE Final Conflict 2004;Fedor Emelianenko;Antonio Rodrigo Nogueira;CNC;;1;3:52;Aug. 15, 2004
PRIDE Final Conflict 2004;Yuki Kondo;Wanderlei Silva;KO/TKO;Stomps;1;2:46;Aug. 15, 2004
PRIDE Final Conflict 2004;Aleksander Emelianenko;Mirko Filipovic;KO/TKO;Kick;1;2:09;Aug. 15, 2004
PRIDE Final Conflict 2004;Kevin Randleman;Ron Waterman;SUB;Keylock;1;7:44;Aug. 15, 2004
PRIDE Final Conflict 2004;Naoya Ogawa;Fedor Emelianenko;SUB;Armbar;1;0:54;Aug. 15, 2004
PRIDE Final Conflict 2004;Sergei Kharitonov;Antonio Rodrigo Nogueira;U. DEC;;2;5:00;Aug. 15, 2004
PRIDE Final Conflict 2004;Murilo Bustamante;Kazuhiro Nakamura;U. DEC;;3;5:00;Aug. 15, 2004
PRIDE Final Conflict 2005;Ricardo Arona;Mauricio Rua;KO/TKO;Punches;1;2:54;Aug. 28, 2005
PRIDE Final Conflict 2005;Mirko Filipovic;Fedor Emelianenko;U. DEC;;3;5:00;Aug. 28, 2005
PRIDE Final Conflict 2005;David Abbott;Hidehiko Yoshida;SUB;Gi Choke;1;7:40;Aug. 28, 2005
PRIDE Final Conflict 2005;Roman Zentsov;Fabricio Werdum;SUB;Armbar;1;4:01;Aug. 28, 2005
PRIDE Final Conflict 2005;Alistair Overeem;Mauricio Rua;KO/TKO;Punches;1;6:42;Aug. 28, 2005
PRIDE Final Conflict 2005;Wanderlei Silva;Ricardo Arona;U. DEC;;2;5:00;Aug. 28, 2005
PRIDE Final Conflict 2005;Igor Vovchanchyn;Kazuhiro Nakamura;U. DEC;;2;5:00;Aug. 28, 2005
PRIDE Final Conflict Absolute;Josh Barnett;Mirko Filipovic;SUB;Strikes;1;7:25;Sep. 10, 2006
PRIDE Final Conflict Absolute;Alistair Overeem;Ricardo Arona;SUB;Strikes;1;4:28;Sep. 10, 2006
PRIDE Final Conflict Absolute;Cyrille Diabate;Mauricio Rua;KO/TKO;Stomps;1;5:29;Sep. 10, 2006
PRIDE Final Conflict Absolute;Yoshihiro Nakao;Kazuhiro Nakamura;U. DEC;;3;5:00;Sep. 10, 2006
PRIDE Final Conflict Absolute;Tae Hyun Lee;Ricardo Morais;KO/TKO;Corner Stoppage;1;8:08;Sep. 10, 2006
PRIDE Final Conflict Absolute;Sergei Kharitonov;Aleksander Emelianenko;KO/TKO;Knees;1;6:45;Sep. 10, 2006
PRIDE Final Conflict Absolute;Antonio Rodrigo Nogueira;Josh Barnett;S. DEC;;2;5:00;Sep. 10, 2006
PRIDE Final Conflict Absolute;Wanderlei Silva;Mirko Filipovic;KO/TKO;Kick;1;5:26;Sep. 10, 2006
PRIDE Final Conflict Absolute;Yosuke Nishijima;Evangelista Santos;SUB;Rear Naked Choke;1;3:24;Sep. 10, 2006
PRIDE Grand Prix 2000 Finals;Igor Vovchanchyn;Mark Coleman;SUB;Strikes;2;3:09;May. 1, 2000
PRIDE Grand Prix 2000 Finals;Alexander Otsuka;Ken Shamrock;KO/TKO;Punches;1;9:43;May. 1, 2000
PRIDE Grand Prix 2000 Finals;Kazuyuki Fujita;Mark Coleman;KO/TKO;Corner Stoppage;1;0:02;May. 1, 2000
PRIDE Grand Prix 2000 Finals;Kazushi Sakuraba;Igor Vovchanchyn;KO/TKO;Corner Stoppage;1;15:00;May. 1, 2000
PRIDE Grand Prix 2000 Finals;Masaaki Satake;Guy Mezger;U. DEC;;2;10:00;May. 1, 2000
PRIDE Grand Prix 2000 Finals;Mark Kerr;Kazuyuki Fujita;U. DEC;;1;15:00;May. 1, 2000
PRIDE Grand Prix 2000 Finals;Akira Shoji;Mark Coleman;U. DEC;;1;15:00;May. 1, 2000
PRIDE Grand Prix 2000 Finals;Royce Gracie;Kazushi Sakuraba;KO/TKO;Corner Stoppage;6;15:00;May. 1, 2000
PRIDE Grand Prix 2000 Finals;Gary Goodridge;Igor Vovchanchyn;KO/TKO;Punch;1;10:14;May. 1, 2000
PRIDE Grand Prix 2000 Opening Round;Nobuhiko Takada;Royce Gracie;U. DEC;;1;15:00;Jan. 30, 2000
PRIDE Grand Prix 2000 Opening Round;Enson Inoue;Mark Kerr;U. DEC;;1;15:00;Jan. 30, 2000
PRIDE Grand Prix 2000 Opening Round;Alexander Otsuka;Igor Vovchanchyn;U. DEC;;1;15:00;Jan. 30, 2000
PRIDE Grand Prix 2000 Opening Round;Masaaki Satake;Mark Coleman;SUB;Neck Crank;1;1:14;Jan. 30, 2000
PRIDE Grand Prix 2000 Opening Round;Guy Mezger;Kazushi Sakuraba;Other;Forfeit by Mezger;1;15:00;Jan. 30, 2000
PRIDE Grand Prix 2000 Opening Round;Hans Nijman;Kazuyuki Fujita;SUB;Neck Crank;1;2:48;Jan. 30, 2000
PRIDE Grand Prix 2000 Opening Round;Ebenezer Fontes Braga;Akira Shoji;U. DEC;;1;15:00;Jan. 30, 2000
PRIDE Grand Prix 2000 Opening Round;Osamu Tachihikari;Gary Goodridge;SUB;Forearm Choke;1;0:51;Jan. 30, 2000
PRIDE Grand Prix 2000 Opening Round;Bob Schrijber;Wanderlei Silva;SUB;Rear Naked Choke;1;2:42;Jan. 30, 2000
PRIDE Shockwave 2002;Kazushi Sakuraba;Mirko Filipovic;Dr's Stoppage;Eye Injury;2;5:00;Aug. 28, 2002
PRIDE Shockwave 2002;Bob Sapp;Antonio Rodrigo Nogueira;SUB;Armbar;2;4:03;Aug. 28, 2002
PRIDE Shockwave 2002;Lloyd Van Dams;Gary Goodridge;KO/TKO;Punches;1;3:39;Aug. 28, 2002
PRIDE Shockwave 2002;Daijiro Matsui;Jerrel Venetiaan;S. DEC;;3;5:00;Aug. 28, 2002
PRIDE Shockwave 2002;Tatsuya Iwasaki;Wanderlei Silva;KO/TKO;Kick;1;1:16;Aug. 28, 2002
PRIDE Shockwave 2003;Kazushi Sakuraba;Antonio Rogerio Nogueira;U. DEC;;3;5:00;Dec. 31, 2003
PRIDE Shockwave 2003;Rony Sefo;Kiyoshi Tamura;SUB;Armbar;1;2:20;Dec. 31, 2003
PRIDE Shockwave 2003;Mario Sperry;Yuki Kondo;Dr's Stoppage;Facial Cut;1;3:27;Dec. 31, 2003
PRIDE Shockwave 2003;Wataru Sakata;Daniel Gracie;SUB;Armbar;1;7:12;Dec. 31, 2003
PRIDE Shockwave 2003;Don Frye;Gary Goodridge;KO/TKO;Kick;1;0:39;Dec. 31, 2003
PRIDE Shockwave 2003;Royce Gracie;Hidehiko Yoshida;Other;Time Expired;2;10:00;Dec. 31, 2003
PRIDE Shockwave 2003;Akira Shoji;Murilo Rua;KO/TKO;Knee;1;2:24;Dec. 31, 2003
PRIDE Shockwave 2003;Daiju Takase;Hayato Sakurai;U. DEC;;3;5:00;Dec. 31, 2003
PRIDE Shockwave 2003;Paulo Cesar Silva;Heath Herring;SUB;Rear Naked Choke;3;0:35;Dec. 31, 2003
PRIDE Shockwave 2003;Ikuhisa Minowa;Quinton Jackson;KO/TKO;Knee;2;1:05;Dec. 31, 2003
PRIDE Shockwave 2004;Antonio Rodrigo Nogueira;Fedor Emelianenko;U. DEC;;3;5:00;Dec. 31, 2004
PRIDE Shockwave 2004;Wanderlei Silva;Mark Hunt;S. DEC;;3;5:00;Dec. 31, 2004
PRIDE Shockwave 2004;Jens Pulver;Takanori Gomi;KO/TKO;Punches;1;6:21;Dec. 31, 2004
PRIDE Shockwave 2004;Yuki Kondo;Dan Henderson;S. DEC;;3;5:00;Dec. 31, 2004
PRIDE Shockwave 2004;Kevin Randleman;Mirko Filipovic;SUB;Guillotine Choke;1;0:41;Dec. 31, 2004
PRIDE Shockwave 2004;Hidehiko Yoshida;Rulon Gardner;U. DEC;;3;5:00;Dec. 31, 2004
PRIDE Shockwave 2004;Henry Miller;Makoto Takimoto;U. DEC;;3;5:00;Dec. 31, 2004
PRIDE Shockwave 2004;Anderson Silva;Ryo Chonan;SUB;Heel Hook;3;3:08;Dec. 31, 2004
PRIDE Shockwave 2004;Yoji Anjo;Ryan Gracie;SUB;Armbar;1;8:33;Dec. 31, 2004
PRIDE Shockwave 2004;Paulo Cesar Silva;Mu Bae Choi;SUB;Arm Triangle;1;5:47;Dec. 31, 2004
PRIDE Shockwave 2004;Stefan Leko;Ikuhisa Minowa;SUB;Heel Hook;1;0:27;Dec. 31, 2004
PRIDE Shockwave 2005;Naoya Ogawa;Hidehiko Yoshida;SUB;Armbar;1;6:04;Dec. 31, 2005
PRIDE Shockwave 2005;Ricardo Arona;Wanderlei Silva;S. DEC;;3;5:00;Dec. 31, 2005
PRIDE Shockwave 2005;Mirko Filipovic;Mark Hunt;S. DEC;;3;5:00;Dec. 31, 2005
PRIDE Shockwave 2005;Ikuhisa Minowa;Kazushi Sakuraba;SUB;Kimura;1;9:59;Dec. 31, 2005
PRIDE Shockwave 2005;Hayato Sakurai;Takanori Gomi;KO/TKO;Punches;1;3:56;Dec. 31, 2005
PRIDE Shockwave 2005;Murilo Bustamante;Dan Henderson;S. DEC;;2;5:00;Dec. 31, 2005
PRIDE Shockwave 2005;Wagner da Conceicao Martins;Fedor Emelianenko;SUB;Strikes;1;0:26;Dec. 31, 2005
PRIDE Shockwave 2005;Pawel Nastula;Aleksander Emelianenko;SUB;Rear Naked Choke;1;8:45;Dec. 31, 2005
PRIDE Shockwave 2005;Makoto Takimoto;Sanae Kikuta;U. DEC;;3;5:00;Dec. 31, 2005
PRIDE Shockwave 2005;Paulo Cesar Silva;James Thompson;KO/TKO;Stomps;1;1:28;Dec. 31, 2005
PRIDE Shockwave 2005;Yuki Kondo;Kazuhiro Nakamura;U. DEC;;3;5:00;Dec. 31, 2005
PRIDE Shockwave 2005;Ken Kaneko;Charles Bennett;SUB;Armbar;1;4:14;Dec. 31, 2005
PRIDE Shockwave 2006;Mark Hunt;Fedor Emelianenko;SUB;Kimura;1;8:16;Dec. 31, 2006
PRIDE Shockwave 2006;Josh Barnett;Antonio Rodrigo Nogueira;U. DEC;;3;5:00;Dec. 31, 2006
PRIDE Shockwave 2006;Hidehiko Yoshida;James Thompson;KO/TKO;Corner Stoppage;1;7:50;Dec. 31, 2006
PRIDE Shockwave 2006;Mitsuhiro Ishida;Takanori Gomi;KO/TKO;Punches;1;1:14;Dec. 31, 2006
PRIDE Shockwave 2006;Eldari Kurtanidze;Kazuyuki Fujita;SUB;Strikes;1;2:09;Dec. 31, 2006
PRIDE Shockwave 2006;Tatsuya Kawajiri;Gilbert Melendez;U. DEC;;2;5:00;Dec. 31, 2006
PRIDE Shockwave 2006;Kazuhiro Nakamura;Mauricio Rua;U. DEC;;3;5:00;Dec. 31, 2006
PRIDE Shockwave 2006;Yuki Kondo;Akihiro Gono;S. DEC;;2;5:00;Dec. 31, 2006
PRIDE Shockwave 2006;Joachim Hansen;Shinya Aoki;SUB;Gogo Plata;1;2:24;Dec. 31, 2006
PRIDE Shockwave 2006;Ikuhisa Minowa;Kiyoshi Tamura;KO/TKO;Kicks;1;1:18;Dec. 31, 2006
PRIDE The Best Vol.2;Yusuke Imamura;Alistair Overeem;KO/TKO;Knee;1;0:44;Jul. 20, 2002
PRIDE Total Elimination 2003;Kazushi Sakuraba;Wanderlei Silva;KO/TKO;Punches;1;5:01;Aug. 10, 2003
PRIDE Total Elimination 2003;Kiyoshi Tamura;Hidehiko Yoshida;SUB;Gi Choke;1;5:06;Aug. 10, 2003
PRIDE Total Elimination 2003;Igor Vovchanchyn;Mirko Filipovic;KO/TKO;Kick;1;1:29;Aug. 10, 2003
PRIDE Total Elimination 2003;Ricco Rodriguez;Antonio Rodrigo Nogueira;U. DEC;;3;5:00;Aug. 10, 2003
PRIDE Total Elimination 2003;Murilo Bustamante;Quinton Jackson;S. DEC;;3;5:00;Aug. 10, 2003
PRIDE Total Elimination 2003;Alistair Overeem;Chuck Liddell;KO/TKO;Punches;1;3:09;Aug. 10, 2003
PRIDE Total Elimination 2003;Gary Goodridge;Fedor Emelianenko;KO/TKO;Punches;1;1:09;Aug. 10, 2003
PRIDE Total Elimination 2004;Mark Coleman;Fedor Emelianenko;SUB;Armbar;1;2:11;Apr. 25, 2004
PRIDE Total Elimination 2004;Hirotaka Yokoi;Antonio Rodrigo Nogueira;SUB;Anaconda Choke;2;1:25;Apr. 25, 2004
PRIDE Total Elimination 2004;Mirko Filipovic;Kevin Randleman;KO/TKO;Punches;1;1:57;Apr. 25, 2004
PRIDE Total Elimination 2004;Stefan Leko;Naoya Ogawa;SUB;Arm Triangle;1;1:34;Apr. 25, 2004
PRIDE Total Elimination 2004;Gan McGee;Semmy Schilt;SUB;Armbar;1;5:02;Apr. 25, 2004
PRIDE Total Elimination 2004;Henry Miller;Paulo Cesar Silva;SUB;Kimura;1;4:04;Apr. 25, 2004
PRIDE Total Elimination 2004;Murilo Rua;Sergei Kharitonov;KO/TKO;Punches;1;4:14;Apr. 25, 2004
PRIDE Total Elimination 2004;Yoshiki Takahashi;Heath Herring;KO/TKO;Punches;1;4:53;Apr. 25, 2004
PRIDE Total Elimination 2005;Hidehiko Yoshida;Wanderlei Silva;S. DEC;;3;5:00;Apr. 23, 2005
PRIDE Total Elimination 2005;Quinton Jackson;Mauricio Rua;KO/TKO;Kicks;1;4:47;Apr. 23, 2005
PRIDE Total Elimination 2005;Dong Sik Yoon;Kazushi Sakuraba;KO/TKO;Punches;1;0:38;Apr. 23, 2005
PRIDE Total Elimination 2005;Dan Henderson;Antonio Rogerio Nogueira;SUB;Armbar;1;8:05;Apr. 23, 2005
PRIDE Total Elimination 2005;Vitor Belfort;Alistair Overeem;SUB;Guillotine Choke;1;9:36;Apr. 23, 2005
PRIDE Total Elimination 2005;Yuki Kondo;Igor Vovchanchyn;U. DEC;;3;5:00;Apr. 23, 2005
PRIDE Total Elimination 2005;Dean Lister;Ricardo Arona;U. DEC;;3;5:00;Apr. 23, 2005
PRIDE Total Elimination 2005;Kevin Randleman;Kazuhiro Nakamura;U. DEC;;3;5:00;Apr. 23, 2005
PRIDE Total Elimination Absolute;Yosuke Nishijima;Hidehiko Yoshida;SUB;Triangle Choke;1;2:33;May. 5, 2006
PRIDE Total Elimination Absolute;Wagner da Conceicao Martins;Antonio Rodrigo Nogueira;SUB;Armbar;1;2:17;May. 5, 2006
PRIDE Total Elimination Absolute;Ikuhisa Minowa;Mirko Filipovic;KO/TKO;Punches;1;1:10;May. 5, 2006
PRIDE Total Elimination Absolute;James Thompson;Kazuyuki Fujita;KO/TKO;Punch;1;8:25;May. 5, 2006
PRIDE Total Elimination Absolute;Aleksander Emelianenko;Josh Barnett;SUB;Keylock;2;1:57;May. 5, 2006
PRIDE Total Elimination Absolute;Tsuyoshi Kohsaka;Mark Hunt;KO/TKO;Punch;2;4:15;May. 5, 2006
PRIDE Total Elimination Absolute;Alistair Overeem;Fabricio Werdum;SUB;Kimura;2;3:43;May. 5, 2006
PRIDE Total Elimination Absolute;Gilbert Yvel;Roman Zentsov;KO/TKO;Punch;1;4:55;May. 5, 2006
Pancrase - Rising 2;Tatsuya Mizuno;Thiago Silva;KO/TKO;Kick;1;4:29;Feb. 28, 2007
Predator FC 1;Rubens Xavier;Thiago Silva;KO/TKO;Kicks;2;4:17;Sep. 10, 2005
ProElite 1: Arlovski vs. Lopez;Raquel Pa'aluhi;Sara McMann;SUB;Keylock;3;2:53;Aug. 27, 2011
ProElite 3: Da Spyder vs. Minowaman;Hitomi Akano;Sara McMann;U. DEC;;3;5:00;Jan. 21, 2012
ROTR 4;Takanori Gomi;BJ Penn;SUB;Rear Naked Choke;3;2:35;Oct. 10, 2003
ROTR 6;Rodrigo Gracie;BJ Penn;U. DEC;;3;5:00;Nov. 20, 2004
ROTR 8;Dave Menne;Jake Shields;U. DEC;;3;5:00;Jan. 20, 2006
ROTR 8;Anderson Silva;Yushin Okami;DQ;Illegal Kick by Silva;1;2:33;Jan. 20, 2006
ROTR 9;Carlos Condit;Jake Shields;U. DEC;;3;5:00;Apr. 21, 2006
ROTR 9;Yushin Okami;Jake Shields;M. DEC;;3;5:00;Apr. 21, 2006
Sengoku - Fifth Battle;Travis Wiuff;Muhammed Lawal;KO/TKO;Punches;1;2:11;Sep. 28, 2008
Sengoku - First Battle;Hidehiko Yoshida;Josh Barnett;SUB;Heel Hook;3;3:23;Mar. 5, 2008
Sengoku - Second Battle;Jeff Monson;Josh Barnett;U. DEC;;3;5:00;May. 18, 2008
Sengoku - Seventh Battle;Ryo Kawamura;Muhammed Lawal;U. DEC;;3;5:00;Mar. 20, 2009
Sengoku - Sixth Battle;Fabio Silva;Muhammed Lawal;KO/TKO;Punches;3;0:41;Nov. 1, 2008
Sengoku - Sixth Battle;Moise Rimbon;Antonio Rogerio Nogueira;U. DEC;;3;5:00;Nov. 1, 2008
Sengoku - no Ran 2009;Yukiya Naito;Muhammed Lawal;KO/TKO;Punches;1;3:54;Jan. 4, 2009
Shooto - Back to Our Roots 1;Akira Kikuchi;Shinya Aoki;S. DEC;;3;5:00;Feb. 17, 2007
Shooto - Champion Carnival;George Sotiropoulos;Shinya Aoki;DQ;Kick to Groin by Sotir...;2;0:05;Oct. 14, 2006
Shooto - To the Top 2;Tetsuji Kato;Anderson Silva;U. DEC;;3;5:00;Mar. 2, 2001
Shooto - To the Top 7;Hayato Sakurai;Anderson Silva;U. DEC;;3;5:00;Aug. 26, 2001
Shooto 2005 1/29;Keith Wisniewski;Shinya Aoki;SUB;Other - Lock;1;2:22;Jan. 29, 2005
Shooto 2005 11/6;Kuniyoshi Hironaka;Shinya Aoki;Dr's Stoppage;Facial Cut;1;2:10;Nov. 6, 2005
Shooto Brazil 9;Rodrigo Gripp de Sousa;Thiago Silva;Dr's Stoppage;;2;1:14;Dec. 3, 2005
Show Fight 5;Dino Pezao;Thiago Silva;KO/TKO;Punches;1;4:34;Nov. 9, 2006
Storm Samurai 12;Claudio Mattos;Rousimar Palhares;SUB;Injury;1;0:17;Nov. 25, 2006
Strikeforce - At the Dome;Bob Sapp;Jan Nortje;KO/TKO;Punches;1;0:55;Feb. 23, 2008
Strikeforce - At the Dome;Joe Riggs;Cory Devela;SUB;Strikes;1;1:22;Feb. 23, 2008
Strikeforce - At the Dome;Rick Roufus;Maurice Smith;SUB;Armbar;1;1:53;Feb. 23, 2008
Strikeforce - At the Dome;Steve Berger;Eddy Ellis;U. DEC;;3;5:00;Feb. 23, 2008
Strikeforce - At the Dome;Ryan Healy;Jorge Masvidal;U. DEC;;3;5:00;Feb. 23, 2008
Strikeforce - At the Dome;Josh Bennett;Mychal Clark;Dr's Stoppage;Eye Injury;2;5:00;Feb. 23, 2008
Strikeforce - At the Dome;Ray Perales;Lyle Beerbohm;SUB;Guillotine Choke;3;1:19;Feb. 23, 2008
Strikeforce - At the Dome;Matt Kovacs;Mike Hayes;U. DEC;;3;5:00;Feb. 23, 2008
Strikeforce - At the Dome;Scott Shaffer;Zach Skinner;U. DEC;;3;5:00;Feb. 23, 2008
Strikeforce - At the Dome;Dave Courchaine;Nathan Coy;KO/TKO;;1;1:46;Feb. 23, 2008
Strikeforce - At the Mansion 2;Joe Riggs;Kazuo Misaki;KO/TKO;Punches;2;2:29;Sep. 20, 2008
Strikeforce - At the Mansion 2;Ashe Bowman;Josh Thomson;KO/TKO;Punches;1;1:14;Sep. 20, 2008
Strikeforce - At the Mansion 2;Cory Devela;Terry Martin;KO/TKO;Punch;3;2:08;Sep. 20, 2008
Strikeforce - At the Mansion 2;Justin Wilcox;Mitsuhiro Ishida;SUB;Armbar;1;1:21;Sep. 20, 2008
Strikeforce - At the Mansion 2;Anthony Ruiz;Trevor Prangley;U. DEC;;3;5:00;Sep. 20, 2008
Strikeforce - At the Mansion 2;Jesse Juarez;Luke Stewart;SUB;Armbar;1;4:55;Sep. 20, 2008
Strikeforce - At the Mansion 2;Kenneth Seegrist;Eric Lawson;SUB;Rear Naked Choke;1;3:07;Sep. 20, 2008
Strikeforce - At the Mansion 2;Brandon Thatch;Brandon Magana;S. DEC;;3;3:00;Sep. 20, 2008
Strikeforce - At the Mansion 2;Dave Martin;Jesse Gillespie;S. DEC;;3;3:00;Sep. 20, 2008
Strikeforce - Barnett vs. Cormier;Josh Barnett;Daniel Cormier;U. DEC;;5;5:00;May. 19, 2012
Strikeforce - Barnett vs. Cormier;Josh Thomson;Gilbert Melendez;S. DEC;;5;5:00;May. 19, 2012
Strikeforce - Barnett vs. Cormier;Rafael Cavalcante;Mike Kyle;Overturned;Failed Drug Test by Ca...;1;0:33;May. 19, 2012
Strikeforce - Barnett vs. Cormier;Nah-Shon Burrell;Chris Spang;KO/TKO;Knees;1;3:25;May. 19, 2012
Strikeforce - Barnett vs. Cormier;Gesias Cavalcante;Isaac Vallie-Flagg;S. DEC;;3;5:00;May. 19, 2012
Strikeforce - Barnett vs. Cormier;Virgil Zwicker;Guto Inocente;U. DEC;;3;5:00;May. 19, 2012
Strikeforce - Barnett vs. Cormier;Derrick Mehmen;Gian Villante;U. DEC;;3;5:00;May. 19, 2012
Strikeforce - Barnett vs. Cormier;Yuri Villefort;Quinn Mulhern;S. DEC;;3;5:00;May. 19, 2012
Strikeforce - Barnett vs. Cormier;James Terry;Bobby Green;S. DEC;;3;5:00;May. 19, 2012
Strikeforce - Barnett vs. Kharitonov;Sergei Kharitonov;Josh Barnett;SUB;Arm Triangle;1;4:28;Sep. 10, 2011
Strikeforce - Barnett vs. Kharitonov;Antonio Silva;Daniel Cormier;KO/TKO;Punch;1;3:56;Sep. 10, 2011
Strikeforce - Barnett vs. Kharitonov;Ronaldo Souza;Luke Rockhold;U. DEC;;5;5:00;Sep. 10, 2011
Strikeforce - Barnett vs. Kharitonov;Roger Gracie;Muhammed Lawal;KO/TKO;Punch;1;4:33;Sep. 10, 2011
Strikeforce - Barnett vs. Kharitonov;Maximo Blanco;Pat Healy;SUB;Rear Naked Choke;2;4:24;Sep. 10, 2011
Strikeforce - Barnett vs. Kharitonov;Marcos Rogerio de Lima;Mike Kyle;U. DEC;;3;5:00;Sep. 10, 2011
Strikeforce - Barnett vs. Kharitonov;Yoel Romero;Rafael Cavalcante;KO/TKO;Punches;2;4:51;Sep. 10, 2011
Strikeforce - Barnett vs. Kharitonov;Evangelista Santos;Jordan Mein;KO/TKO;Elbows;3;1:42;Sep. 10, 2011
Strikeforce - Barnett vs. Kharitonov;Amanda Nunes;Alexis Davis;KO/TKO;Punches;2;4:53;Sep. 10, 2011
Strikeforce - Barnett vs. Kharitonov;Chris Mierzwiak;Dominique Steele;U. DEC;;3;5:00;Sep. 10, 2011
Strikeforce - Carano vs. Cyborg;Gina Carano;Cristiane Justino;KO/TKO;Punches;1;4:59;Aug. 15, 2009
Strikeforce - Carano vs. Cyborg;Mitsuhiro Ishida;Gilbert Melendez;KO/TKO;Punches;3;3:56;Aug. 15, 2009
Strikeforce - Carano vs. Cyborg;Renato Sobral;Gegard Mousasi;KO/TKO;Punches;1;1:00;Aug. 15, 2009
Strikeforce - Carano vs. Cyborg;Mike Kyle;Fabricio Werdum;SUB;Guillotine Choke;1;1:24;Aug. 15, 2009
Strikeforce - Carano vs. Cyborg;Jesse Taylor;Jay Hieron;U. DEC;;3;5:00;Aug. 15, 2009
Strikeforce - Carano vs. Cyborg;Mike Cook;Scott Lighty;KO/TKO;;1;2:05;Aug. 15, 2009
Strikeforce - Carano vs. Cyborg;David Douglas;Justin Wilcox;SUB;Rear Naked Choke;3;3:16;Aug. 15, 2009
Strikeforce - Carano vs. Cyborg;Zak Bucia;James Terry;KO/TKO;;1;1:23;Aug. 15, 2009
