FIGHTER_LOSE;FIGHTER_WIN;METHOD;METHOD_DESC;PASS_LOSE;PASS_WIN;ROUND;STR_LOSE;STR_WIN;SUB_LOSE;SUB_WIN;TD_LOSE;TD_WIN;DATE
151;667;1;2;2.0;0.0;1;3.0;0.0;0.0;1.0;0.0;0.0;2009-05-26 00:00:00
483;1546;1;23;0.0;0.0;1;2.0;1.0;0.0;2.0;1.0;0.0;2008-12-31 00:00:00
1118;1161;0;43;0.0;0.0;1;0.0;5.0;0.0;0.0;0.0;0.0;2008-12-31 00:00:00
647;1216;0;27;0.0;0.0;1;4.0;14.0;0.0;0.0;0.0;0.0;2008-12-31 00:00:00
954;622;0;43;0.0;5.0;1;8.0;30.0;0.0;0.0;0.0;1.0;2008-12-31 00:00:00
1550;1521;1;55;1.0;0.0;1;3.0;5.0;0.0;1.0;1.0;0.0;2008-12-31 00:00:00
20;151;0;43;2.0;0.0;1;1.0;11.0;0.0;0.0;2.0;0.0;2008-12-31 00:00:00
1765;81;0;43;1.0;0.0;1;1.0;8.0;2.0;0.0;1.0;0.0;2008-12-31 00:00:00
636;355;1;5;1.0;0.0;1;0.0;0.0;1.0;2.0;0.0;1.0;2008-12-31 00:00:00
528;667;1;53;0.0;1.0;1;3.0;0.0;0.0;2.0;0.0;1.0;2008-12-31 00:00:00
1221;1546;1;20;0.0;2.0;1;0.0;5.0;0.0;1.0;0.0;1.0;2009-12-31 00:00:00
581;583;0;43;0.0;1.0;1;0.0;17.0;0.0;0.0;0.0;1.0;2009-12-31 00:00:00
962;52;0;30;0.0;0.0;1;1.0;6.0;0.0;0.0;0.0;0.0;2009-12-31 00:00:00
960;1161;0;43;0.0;0.0;1;1.0;6.0;0.0;0.0;0.0;0.0;2009-12-31 00:00:00
622;19;1;5;0.0;2.0;2;9.0;15.0;0.0;1.0;0.0;2.0;2009-12-31 00:00:00
643;1175;0;42;0.0;0.0;1;14.0;29.0;0.0;0.0;0.0;0.0;2009-12-31 00:00:00
1341;667;0;42;4.0;0.0;3;25.0;2.0;1.0;2.0;2.0;0.0;2009-12-31 00:00:00
1634;52;0;42;0.0;0.0;1;2.0;5.0;0.0;0.0;0.0;0.0;2010-12-31 00:00:00
1601;1522;0;30;0.0;0.0;1;4.0;10.0;0.0;0.0;0.0;0.0;2010-12-31 00:00:00
667;640;0;43;0.0;5.0;3;8.0;28.0;0.0;1.0;0.0;6.0;2010-12-31 00:00:00
957;636;1;5;0.0;14.0;3;8.0;12.0;0.0;9.0;0.0;6.0;2010-12-31 00:00:00
430;1386;1;38;0.0;0.0;1;1.0;0.0;0.0;1.0;1.0;0.0;2000-06-29 00:00:00
1727;111;0;13;0.0;1.0;1;2.0;21.0;0.0;1.0;0.0;1.0;2007-10-02 00:00:00
942;262;0;42;0.0;0.0;1;6.0;7.0;0.0;0.0;0.0;0.0;2007-10-02 00:00:00
991;1530;0;42;0.0;0.0;1;0.0;5.0;0.0;0.0;0.0;0.0;2008-04-10 00:00:00
1296;695;1;5;0.0;6.0;2;17.0;21.0;0.0;1.0;0.0;3.0;2008-04-10 00:00:00
1442;73;0;42;4.0;0.0;2;10.0;24.0;1.0;0.0;0.0;0.0;2008-04-10 00:00:00
