AK&M;Fitch Ratings;Moody's;S&P;and;bank;capital;day_term;dep_name;min_amount;payments_daily;payments_end;payments_monthly;payments_section;profit;rate;refill;spec_deposit;HPA;RUS-Rating;ExpertRA
;AAA(rus);Aaa.ru;;;Росбанк;;365.0;«Зимний»;15000.0;;1.0;;;7950.0;7.95;;1.0;;AAA;
;AAA(rus);Aaa.ru;;;Россельхозбанк;1.0;365.0;«Накопительный»;100000.0;;;1.0;;8192.0;7.9;1.0;0.0;;;
;;;;;Уралсиб;;367.0;«Мультивалютный»;100000.0;;;1.0;;7943.0;7.9;1.0;1.0;;AA-;
;AA-(rus);;ruAA-;;Глобэкс;;367.0;«Точный расчет»;100000.0;;1.0;;;7943.0;7.9;;0.0;;;
;AAA(rus);Aaa.ru;;;Россельхозбанк;1.0;365.0;«Детский»;100000.0;;1.0;;;8139.0;7.85;1.0;1.0;;;
;;;;;Уралсиб;1.0;367.0;«Стабильный»;10000.0;;;1.0;;8131.0;7.8;1.0;0.0;;AA-;
;;A2.ru;ruA;;Петрокоммерц;1.0;360.0;«Накопление»;30000.0;;1.0;;;7918.0;7.8;1.0;0.0;;AA-;A+
;;;ruAA;;Промсвязьбанк;;367.0;«Моя выгода (онлайн)»;50000.0;;1.0;;;7843.0;7.8;;0.0;AA+;AA-;
;;;;1.0;Национальный Банк «Траст»;;181.0;«Все включено 2014»;100000.0;;1.0;;;7800.0;7.8;;0.0;;A-;A
;A+(rus);;;;Банк «Санкт-Петербург»;;367.0;«Стратег»;5000.0;;1.0;;;7792.0;7.75;1.0;0.0;;;A++
;;Aaa.ru;;;ВТБ 24;;395.0;«Доходный — Банкомат»;5000.0;;1.0;;;8387.0;7.75;;1.0;;AAA;
;A-(rus);A3.ru;ruA;;Русский Стандарт;1.0;360.0;«Рантье »;30000.0;;;1.0;;7917.0;7.75;1.0;0.0;AA+;AA-;
;;A1.ru;;1.0;Транскапиталбанк;1.0;370.0;«Зима. Теплый процент»;50000.0;;;1.0;;8146.0;7.75;;1.0;;;A++
;A+(rus);;;;Банк «Санкт-Петербург»;;367.0;«Рантье»;50000.0;;;1.0;;7742.0;7.7;;0.0;;;A++
;;;;;;;;;;;;;;;;;;;;
