"MES";"CLIENT";"PROD_TYPE";"COUNT_SKU"
01.04.2012 0:00:00;496271;"สรา";335
01.04.2012 0:00:00;5305;"ยั";6198
01.04.2012 0:00:00;496061;"ฬรา";5842
01.04.2012 0:00:00;104;"ยั";12010
01.04.2012 0:00:00;5012;"ฬรา";4115
01.04.2012 0:00:00;5055;"สรา";1456
01.04.2012 0:00:00;5055;"ฬรา";21903
01.04.2012 0:00:00;5102;"ยั";14800
01.04.2012 0:00:00;137;"สรา";1714
01.04.2012 0:00:00;719;"สรา";116
01.05.2012 0:00:00;134;"ฬรา";5689
01.05.2012 0:00:00;236;"ฬรา";6312
01.05.2012 0:00:00;465;"ฬรา";23201
01.04.2012 0:00:00;5091;"ยั";74
01.04.2012 0:00:00;888;"ยั";9807
01.04.2012 0:00:00;5010;"ฬรา";8356
01.04.2012 0:00:00;5098;"ยั";3408
01.04.2012 0:00:00;5231;"สรา";1221
01.04.2012 0:00:00;117;"ยั";11096
01.04.2012 0:00:00;125;"สรา";1853
01.04.2012 0:00:00;128;"ยั";21410
01.04.2012 0:00:00;151;"ยั";21305
01.04.2012 0:00:00;178;"ฬรา";22435
01.04.2012 0:00:00;190;"ฬรา";28099
01.04.2012 0:00:00;235;"ฬรา";7785
01.04.2012 0:00:00;714;"สรา";1335
01.04.2012 0:00:00;754;"ฬรา";7233
01.04.2012 0:00:00;5107;"ฬรา";5437
01.04.2012 0:00:00;5128;"สรา";893
01.04.2012 0:00:00;5145;"ยั";7612
01.04.2012 0:00:00;5016;"ยั";8542
01.04.2012 0:00:00;5024;"ยั";9093
01.04.2012 0:00:00;108;"ฬรา";37031
01.04.2012 0:00:00;145;"ฬรา";34716
01.04.2012 0:00:00;158;"ฬรา";10045
01.04.2012 0:00:00;469042;"ยั";24
01.04.2012 0:00:00;499832;"ยั";6
01.04.2012 0:00:00;192;"ฬรา";37268
01.04.2012 0:00:00;878;"ยั";549
01.04.2012 0:00:00;932;"สรา";1657
01.04.2012 0:00:00;149;"ฬรา";7130
01.04.2012 0:00:00;160;"สรา";2102
01.04.2012 0:00:00;189;"สรา";2229
01.04.2012 0:00:00;200;"ยั";15231
01.04.2012 0:00:00;5141;"ฬรา";5600
01.04.2012 0:00:00;468404;"ยั";3
01.04.2012 0:00:00;496094;"ฬรา";87
01.04.2012 0:00:00;166;"สรา";1407
01.04.2012 0:00:00;769;"ยั";14700
01.04.2012 0:00:00;848;"ยั";7353
01.04.2012 0:00:00;947;"ฬรา";59629
01.04.2012 0:00:00;5059;"ยั";5384
01.04.2012 0:00:00;5182;"ยั";15801
01.04.2012 0:00:00;5208;"ฬรา";16606
01.04.2012 0:00:00;5268;"ฬรา";1156
01.04.2012 0:00:00;468285;"สรา";58
01.04.2012 0:00:00;5129;"ยั";5403
01.04.2012 0:00:00;5197;"ฬรา";6633
01.04.2012 0:00:00;5204;"ยั";4209
01.04.2012 0:00:00;974;"ยั";8400
01.04.2012 0:00:00;5020;"สรา";833
01.04.2012 0:00:00;5033;"ยั";32
01.04.2012 0:00:00;5344;"ยั";3404
01.04.2012 0:00:00;496241;"ฬรา";1646
01.04.2012 0:00:00;247;"ฬรา";14172
01.04.2012 0:00:00;200;"สรา";978
01.04.2012 0:00:00;254;"ยั";5640
01.04.2012 0:00:00;269;"สรา";707
01.04.2012 0:00:00;274;"ฬรา";436
01.04.2012 0:00:00;402;"ฬรา";2180
01.04.2012 0:00:00;272;"สรา";585
01.04.2012 0:00:00;464;"ฬรา";25188
01.04.2012 0:00:00;292;"ยั";17
01.04.2012 0:00:00;5147;"ยั";27
01.04.2012 0:00:00;5305;"ยั";8220
01.04.2012 0:00:00;469913;"ฬรา";40
01.04.2012 0:00:00;496056;"สรา";131
01.04.2012 0:00:00;183;"ยั";459
01.04.2012 0:00:00;193;"ยั";7225
01.04.2012 0:00:00;195;"ยั";1610
01.04.2012 0:00:00;191;"ยั";5192
01.04.2012 0:00:00;701;"ฬรา";6132
01.04.2012 0:00:00;860;"ยั";10200
01.04.2012 0:00:00;884;"สรา";1182
01.04.2012 0:00:00;928;"ยั";7608
