id;shop;adress;format;region;city
5227;5227 Нягань СМ ТЦ«Oasis»;"г. Нягань, ул. Ленина, д. 28, ТЦ ""Oasis Plaza""";Супермаркет;Уральский;Нягань
5228;5228 Псков СМ «Максимус»;"г. Псков, Октябрьский пр-т, д. 54, ТЦ ""Максимус""";Супермаркет;Северо-Западный;Псков
5229;5229 Чебоксары O'S Мад-р;"г. Чебоксары, ул. Ленинского Комсомола, д. 21А, ТЦ ""Мадагаскар""";O'STIN;Приволжский;Чебоксары
5230;5230 Волгоград СМ В-ский;"г. Волгоград, ул. Рабоче-Крестьянская, д. 9Б, ТРЦ ""Ворошиловский""";Супермаркет;Южный;Волгоград
5231;5231 Улан-Удэ СМ ТЦ «В»;"г. Улан-Удэ, ул. Бабушкина, ТЦ ""Верхнеудинск""";Супермаркет;Сибирский;Улан-Удэ
5232;5232 Волгоград СМ КМолл;"г. Волгоград, ул. Землячки, д. 110б, ТРК ""КомсоМолл""";Супермаркет;Южный;Волгоград
5233;5233 Пермь СМ Юрша д.82;г. Пермь, ул. Юрша, д. 82;Супермаркет;Уральский;Пермь
5234;5234 Черкесск O'S Россия;"г. Черкесск, ул. Ленина, д. 25, ТЦ ""Россия""";O'STIN;Южный;Черкесск
5235;5235 М-реченск O'S К д18;г. Междуреченск, Коммунистический пр-т, д. 18;O'STIN;Сибирский;Междуреченск
5236;5236 Волгоград O'S КМолл;"г. Волгоград, ул. им. Землячки, д. 110б,  ТРК ""КомсоМолл""";O'STIN;Южный;Волгоград
5237;"5237 Киров O'S ТЦ""ЛЕТО""";"г. Киров, ул. Привокзальная пл., д. 1, ТЦ ""Лето""";O'STIN;Северо-центральный;Киров
5238;5238 Находка O'S Н-кий;г. Находка, Находкинский пр-т, д.100;O'STIN;Дальневосточный;Находка
5239;5239 Краснодар O'S OZ M;"г. Краснодар, ТЦ ""OZ MALL"", ул.Крылатая, д.2";O'STIN;Южный;Краснодар
5240;5240 Липецк СМ Европа-27;"г. Липецк, ул. Стаханова, д. 36, ТЦ ""Европа-27""";Супермаркет;Центральный;Липецк
5241;"5241 O'S ТЦ ""Л153""";г. Москва, ТЦ Л153 ул. Люблинская 153;O'STIN;Московский;Москва
5242;5242 Э-сталь O'S Эльгард;г. Электросталь, ТЦ Эльград;O'STIN;Московский;Электросталь
5243;5243 Серпухов O'S К-стон;"г. Серпухов, Борисовское ш.. д.3, ТРЦ ""Корстон""";O'STIN;Московский;Серпухов
5244;5244 Рязань O'S Премьер;"г. Рязань, Московское ш., д. 21, ТЦ ""Премьер""";O'STIN;Северо-центральный;Рязань
5245;"5245 O'S ТПУ ""Планерная""";"г.Москва, ул. Планерная, д.7, ТЦ ""Планерная""";O'STIN;Московский;Москва
5246;5246 Рубцовск O'S Мария;"г. Рубцовск, ТЦ ""Мария РА"", ул. Ленина, д.58";O'STIN;Сибирский;Рубцовск
5247;5247 Владикавказ O'S Ст;"г. Владикавказ, ТЦ ""Столица"", ул. Кесаева, 2А";O'STIN;Южный;Владикавказ
5248;5248 Губкин O'S Европа;"г. Губкин, ул. Космонавтов, д. 14, ТЦ ""Европа""";O'STIN;Южно-центральный;Губкин
5249;"5249 К-на-А O'S ТЦ""БУМ""";"г. Комсомольск-на-Амуре, ул. Димитрова, д.14, ТЦ ""БУМ""";O'STIN;Дальневосточный;Комсомольск-на-Амуре
5250;5250 Королев O'S пр К д3;Московская обл., г. Королев, пр-т Королева, д.3;O'STIN;Московский;Королев
5251;5251 Н. Тагил O'S Фрунзе;г. Нижний Тагил, ул. Фрунзе , д. 58/33;O'STIN;Уральский;Нижний Тагил
5252;5252 Уфа O'S П-кая 34;г. Уфа, ул. Первомайская, д. 34;O'STIN;Уральский;Уфа
5253;5253 Северодвинск O'S С;"г. Северодвинск, квартал 150, пр-т Морской, ул. Чеснокова, ТЦ ""Сити""";O'STIN;Северо-Западный;Северодвинск
5254;5254 Челябинск O'S Ф-та;"г. Челябинск, ул. Молодогвардейцев, д. 7, ТЦ ""Фиеста""";O'STIN Дисконт;Уральский;Челябинск
5255;5255 Петрозаводск СМ М;"г. Петрозаводск, пр-т Ленина, 14-в, ТЦ ""Макси""";Супермаркет;Северо-Западный;Петрозаводск
5256;5256 Курган O'S ТЦ ГCити;"г. Курган, ул. Коли Мякотина, д.8, ТЦ ""Гипер Сити""";O'STIN;Уральский;Курган
5257;5257 Краснодар СМ ТЦ«КП»;"г. Краснодар, ул. Покрышкина, д. 34, ТЦ ""Красная площадь""";Гипермаркет;Южный;Краснодар
5258;5258 Петрозаводск O'S Ц;"г.Петрозаводск, ТРЦ ""ЦУМ"", пр-кт Ленина, д.34";O'STIN;Северо-Западный;Петрозаводск
5259;5259 Нижнекамск СМ М 25;г. Нижнекамск, пр-т Мира, д. 25;Супермаркет;Приволжский;Нижнекамск
5260;5260 Уссурийск СМ Л 42б;г. Уссурийск, ул. Ленинградская, д. 42б;Супермаркет;Дальневосточный;Уссурийск
5261;5261 Новосибирск СМ Кр96;г. Новосибирск, Красный пр-т, д. 96;Супермаркет;Сибирский;Новосибирск
5262;5262 Екатер O'S Фан-Фан;"г. Екатеринбург, ул. Ясная, д. 2, ТЦ ""Фан-Фан""";O'STIN;Уральский;Екатеринбург
5263;5263 Саратов СМ Солнечн;"г. Саратов, Вольский тракт, д. 2, ТЦ ""Happy Молл""";Супермаркет;Приволжский;Саратов
5264;5264 Подольск O'S Дриада;"г. Подольск, ТЦ ""Дриада"", ул. Свердлова вл. 26";O'STIN;Московский;Подольск
5265;5265 Тула СМ ТЦ «Спар»;"г. Тула, ул. Октябрьская, д. 91, ТЦ ""Спар""";Супермаркет;Центральный;Тула
5266;5266 СПб СМ «Подсолнух»;"г. Санкт-Петербург, ул. Савушкина, д. 119/3, лит. А, ТРЦ ""Подсолнух""";Гипермаркет;Северо-Западный;Санкт-Петербург
5267;5267 Северодвинск СМ Сит;"г. Северодвинск, Морской пр-т, д. 70, ТЦ ""Сити""";Супермаркет;Северо-Западный;Северодвинск
5269;5269 Саранcк СМ ТЦ «Max»;"г. Саранск, ул. Гагарина, д. 99А, ТЦ ""Max""";Супермаркет;Приволжский;Саранск
5271;"5271 Омск O'S ""Окей""";"г. Омск, Омская область, пересечение ул. Химиков и  ул. Энтузиастов. ТЦ ""Окей""";O'STIN;Сибирский;Омск
5272;"5272 Казань O'S ""Франт""";"г. Казань, ул. Юлиуса Фучика, д. 90, ТЦ ""Франт""";O'STIN;Приволжский;Казань
5273;5273 Ростов-на-Д O'S Рио;"г. Ростов-на-Дону, ТЦ ""Рио"", пр-т. Нагибина, д.17";O'STIN;Южный;Ростов-на-Дону
5274;5274 В Луки O'S Апельсин;"г. Великие Луки, ул. Вокзальная, д. 11, ТЦ ""Апельсин""";O'STIN;Северо-Западный;Великие Луки
5275;"5275 Алматы O'S ""ADK""";"г. Алматы, ул. Сатпаева, д. 90/5, ТЦ ""АДК""";O'STIN;Казахстанский;Алматы
5276;5276 Алматы O'S Гоголя;г. Алматы, ул. Гоголя, д. 117/127;O'STIN;Казахстанский;Алматы
5277;"5277 Шымкент O'S ТЦ ""БС""";"г. Шымкент, Тамерлановское ш., ТЦ ""Баян Сулу""";O'STIN;Казахстанский;Шымкент
5278;5278 Армавир O'S Кирова;г. Армавир, ул. Кирова, д. 57-59, Street Retail;O'STIN;Южный;Армавир
5279;5279 Элиста O'S Романтик;"г. Элиста, ул. Ю.Нейман, д. 1, ТЦ ""Романтика""";O'STIN;Южный;Элиста
5280;"5280 Домодедово O'S ""ТК""";"г. Домодедово , ТЦ ""Торговый квартал"", Каширское ш., стр. 3а";O'STIN;Московский;Домодедово
5281;5281 Тамбов O'S Совет119;г. Тамбов, ул.Советская, д.119;O'STIN;Южно-центральный;Тамбов
5282;5282 МинВоды O'S Вершина;"г. Минеральные Воды, пр-т 22 Партсъезда, д. 102, ТРЦ ""Вершина""";O'STIN;Южный;Минеральные Воды
5283;5283 Пермь O'S «Цум»;"г. Пермь, ул. Ленина, д. 45, ТЦ ""ЦУМ""";O'STIN;Уральский;Пермь
5284;5284 Саратов O'S Кир 22;г. Саратов, ул. Кирова, д.22;O'STIN;Приволжский;Саратов
5285;5285 Северск O'S Мармел;"г. Северск, ТЦ ""Мармелайт"",  ул. Курчатова, д.11";O'STIN;Сибирский;Северск
5286;5286 Калуга СМ «РИО»;"г. Калуга, ул. Кирова, д. 19, ТЦ ""РИО""";Супермаркет;Центральный;Калуга
5287;5287 Актобе СМ ТЦ «Мега»;"г.Актобе, ТЦ ""Мега"", ул. Маншук Маметовой, д.4";Супермаркет;Казахстанский;Актобе
5288;5288 Винница O'S МегаМол;"м. Вінниця, вул. 600-річчя, буд. 17, ТЦ ""МЕГАМОЛЛ""";O'STIN;Украинский;Винница
5289;5289 Севастополь O'S 260;"м. Севастополь, просп. Острякова Генерала, буд. 260, ТК ""Sea Mall""";O'STIN;Украинский;Севастополь
5290;5290 Малая Д O'S Окр дор;"Харківська обл., Дергачівський р., смт М.Данилівка, вул. Кільцевий шлях, буд. 4-А, ТРК ""Магелан""";O'STIN;Украинский;Харьков
5291;"5291 O'S ТЦ ""Свиблово""";"г. Москва, ул. Снежная, д. 27, ТРЦ ""Свиблово""";O'STIN;Московский;Москва
5293;"5293 СПб O'S ТЦ ""РИО""";"г.Санкт-Петербург, ТЦ ""Рио"", ул.Фучика, д.2";O'STIN;Северо-Западный;Санкт-Петербург
5294;5294 Архангельск O'S Т63;"г. Архангельск, пр-т Троицкий, д. 63, к. 1, ТРК ""Пирамида""";O'STIN;Северо-Западный;Архангельск
5295;5295 Уссурийск O'S Б;"г.Уссурийск, ТЦ ""Богатырь"", ул.Чичерина, д.91а";O'STIN;Дальневосточный;Уссурийск
5296;5296 Ногинск O'S Соб 12;г.Ногинск, ул.Соборная, д.12;O'STIN;Московский;Ногинск
